# x        y       z        profile
-3.00000    -5.19615    0.00000    0.36030
-2.00000    -5.19615    0.00000    -0.48332
-3.50000    -4.33013    0.00000    -0.48332
-1.50000    -4.33013    0.00000    0.24258
-0.50000    -4.33013    0.00000    -0.55632
-3.00000    -3.46410    0.00000    0.24258
-2.00000    -3.46410    0.00000    -0.32023
-3.50000    -2.59808    0.00000    -0.55632
0.00000    -3.46410    0.00000    0.23794
1.00000    -3.46410    0.00000    -0.55733
-1.50000    -2.59808    0.00000    0.24863
-0.50000    -2.59808    0.00000    -0.35036
-3.00000    -1.73205    0.00000    0.23794
-2.00000    -1.73205    0.00000    -0.35036
-3.50000    -0.86603    0.00000    -0.55733
1.50000    -2.59808    0.00000    0.23691
2.50000    -2.59808    0.00000    -0.55733
0.00000    -1.73205    0.00000    0.25507
1.00000    -1.73205    0.00000    -0.35936
-1.50000    -0.86603    0.00000    0.25507
-0.50000    -0.86603    0.00000    -0.32949
-3.00000    -0.00000    0.00000    0.23691
-2.00000    -0.00000    0.00000    -0.35936
-3.50000    0.86603    0.00000    -0.55733
3.00000    -1.73205    0.00000    0.23794
4.00000    -1.73205    0.00000    -0.55632
1.50000    -0.86603    0.00000    0.25507
2.50000    -0.86603    0.00000    -0.35036
-0.00000    -0.00000    0.00000    0.26023
1.00000    -0.00000    0.00000    -0.32949
-1.50000    0.86603    0.00000    0.25507
-0.50000    0.86603    0.00000    -0.32949
-3.00000    1.73205    0.00000    0.23794
-2.00000    1.73205    0.00000    -0.35036
-3.50000    2.59808    0.00000    -0.55632
4.50000    -0.86603    0.00000    0.24258
5.50000    -0.86603    0.00000    -0.48332
3.00000    0.00000    0.00000    0.24863
4.00000    0.00000    0.00000    -0.32023
1.50000    0.86603    0.00000    0.25507
2.50000    0.86603    0.00000    -0.35036
-0.00000    1.73205    0.00000    0.25507
1.00000    1.73205    0.00000    -0.35936
-1.50000    2.59808    0.00000    0.24863
-0.50000    2.59808    0.00000    -0.35036
-3.00000    3.46410    0.00000    0.24258
-2.00000    3.46410    0.00000    -0.32023
-3.50000    4.33013    0.00000    -0.48332
6.00000    0.00000    0.00000    0.36030
4.50000    0.86603    0.00000    0.24258
5.50000    0.86603    0.00000    -0.48332
3.00000    1.73205    0.00000    0.23794
4.00000    1.73205    0.00000    -0.55632
1.50000    2.59808    0.00000    0.23691
2.50000    2.59808    0.00000    -0.55733
-0.00000    3.46410    0.00000    0.23794
1.00000    3.46410    0.00000    -0.55733
-1.50000    4.33013    0.00000    0.24258
-0.50000    4.33013    0.00000    -0.55632
-3.00000    5.19615    0.00000    0.36030
-2.00000    5.19615    0.00000    -0.48332
