# x        y     profile      z
-14.50000    -14.72243    -32.49879    0.00000
-12.50000    -14.72243    -1.75282    0.00000
-11.50000    -14.72243    -2.12019    0.00000
-14.00000    -13.85641    0.63088    0.00000
-13.00000    -13.85641    -1.61221    0.00000
-14.50000    -12.99038    -16.50044    0.00000
-9.50000    -14.72243    -2.08265    0.00000
-8.50000    -14.72243    -2.12318    0.00000
-11.00000    -13.85641    -0.71956    0.00000
-10.00000    -13.85641    -1.24540    0.00000
-12.50000    -12.99038    0.69879    0.00000
-11.50000    -12.99038    0.81509    0.00000
-14.00000    -12.12436    0.65851    0.00000
-13.00000    -12.12436    -0.11171    0.00000
-14.50000    -11.25833    -9.16192    0.00000
-6.50000    -14.72243    -2.16504    0.00000
-5.50000    -14.72243    -2.12877    0.00000
-8.00000    -13.85641    -0.96071    0.00000
-7.00000    -13.85641    -1.18186    0.00000
-9.50000    -12.99038    0.79713    0.00000
-8.50000    -12.99038    0.79356    0.00000
-11.00000    -12.12436    0.48085    0.00000
-10.00000    -12.12436    0.42053    0.00000
-12.50000    -11.25833    0.79938    0.00000
-11.50000    -11.25833    0.54635    0.00000
-14.00000    -10.39230    0.39975    0.00000
-13.00000    -10.39230    0.89636    0.00000
-14.50000    -9.52628    -7.00173    0.00000
-3.50000    -14.72243    -2.18676    0.00000
-2.50000    -14.72243    -2.16003    0.00000
-5.00000    -13.85641    -1.06581    0.00000
-4.00000    -13.85641    -1.16412    0.00000
-6.50000    -12.99038    0.80037    0.00000
-5.50000    -12.99038    0.78997    0.00000
-8.00000    -12.12436    0.46835    0.00000
-7.00000    -12.12436    0.47724    0.00000
-9.50000    -11.25833    0.76358    0.00000
-8.50000    -11.25833    0.65107    0.00000
-11.00000    -10.39230    0.92078    0.00000
-10.00000    -10.39230    0.97882    0.00000
-12.50000    -9.52628    0.87135    0.00000
-11.50000    -9.52628    0.77807    0.00000
-14.00000    -8.66025    0.27286    0.00000
-13.00000    -8.66025    1.04699    0.00000
-14.50000    -7.79423    -6.94178    0.00000
-0.50000    -14.72243    -2.18158    0.00000
0.50000    -14.72243    -2.18158    0.00000
-2.00000    -13.85641    -1.11676    0.00000
-1.00000    -13.85641    -1.14592    0.00000
-3.50000    -12.99038    0.79721    0.00000
-2.50000    -12.99038    0.79158    0.00000
-5.00000    -12.12436    0.46198    0.00000
-4.00000    -12.12436    0.47869    0.00000
-6.50000    -11.25833    0.71531    0.00000
-5.50000    -11.25833    0.66140    0.00000
-8.00000    -10.39230    0.96407    0.00000
-7.00000    -10.39230    0.97221    0.00000
-9.50000    -9.52628    0.91122    0.00000
-8.50000    -9.52628    0.90622    0.00000
-11.00000    -8.66025    0.96010    0.00000
-10.00000    -8.66025    0.95662    0.00000
-12.50000    -7.79423    0.89890    0.00000
-11.50000    -7.79423    0.97359    0.00000
-14.00000    -6.92820    0.26496    0.00000
-13.00000    -6.92820    1.04581    0.00000
-14.50000    -6.06218    -7.32603    0.00000
2.50000    -14.72243    -2.16003    0.00000
3.50000    -14.72243    -2.18676    0.00000
1.00000    -13.85641    -1.14592    0.00000
2.00000    -13.85641    -1.11676    0.00000
-0.50000    -12.99038    0.79416    0.00000
0.50000    -12.99038    0.79416    0.00000
-2.00000    -12.12436    0.46507    0.00000
-1.00000    -12.12436    0.47170    0.00000
-3.50000    -11.25833    0.69253    0.00000
-2.50000    -11.25833    0.67027    0.00000
-5.00000    -10.39230    0.96972    0.00000
-4.00000    -10.39230    0.97090    0.00000
-6.50000    -9.52628    0.91190    0.00000
-5.50000    -9.52628    0.91501    0.00000
-8.00000    -8.66025    0.97038    0.00000
-7.00000    -8.66025    0.95334    0.00000
-9.50000    -7.79423    0.98680    0.00000
-8.50000    -7.79423    1.00504    0.00000
-11.00000    -6.92820    0.97055    0.00000
-10.00000    -6.92820    0.98758    0.00000
-12.50000    -6.06218    0.90104    0.00000
-11.50000    -6.06218    1.01401    0.00000
-14.00000    -5.19615    0.28946    0.00000
-13.00000    -5.19615    1.05016    0.00000
-14.50000    -4.33013    -7.52125    0.00000
5.50000    -14.72243    -2.12877    0.00000
6.50000    -14.72243    -2.16504    0.00000
4.00000    -13.85641    -1.16412    0.00000
5.00000    -13.85641    -1.06581    0.00000
2.50000    -12.99038    0.79158    0.00000
3.50000    -12.99038    0.79721    0.00000
1.00000    -12.12436    0.47170    0.00000
2.00000    -12.12436    0.46507    0.00000
-0.50000    -11.25833    0.67957    0.00000
0.50000    -11.25833    0.67957    0.00000
-2.00000    -10.39230    0.97056    0.00000
-1.00000    -10.39230    0.97069    0.00000
-3.50000    -9.52628    0.91300    0.00000
-2.50000    -9.52628    0.91576    0.00000
-5.00000    -8.66025    0.96542    0.00000
-4.00000    -8.66025    0.95592    0.00000
-6.50000    -7.79423    1.00000    0.00000
-5.50000    -7.79423    1.00365    0.00000
-8.00000    -6.92820    0.99071    0.00000
-7.00000    -6.92820    0.99280    0.00000
-9.50000    -6.06218    0.99431    0.00000
-8.50000    -6.06218    1.00237    0.00000
-11.00000    -5.19615    0.97368    0.00000
-10.00000    -5.19615    1.01031    0.00000
-12.50000    -4.33013    0.90088    0.00000
-11.50000    -4.33013    1.01757    0.00000
-14.00000    -3.46410    0.30620    0.00000
-13.00000    -3.46410    1.05120    0.00000
-14.50000    -2.59808    -7.50973    0.00000
8.50000    -14.72243    -2.12318    0.00000
9.50000    -14.72243    -2.08265    0.00000
7.00000    -13.85641    -1.18186    0.00000
8.00000    -13.85641    -0.96071    0.00000
5.50000    -12.99038    0.78997    0.00000
6.50000    -12.99038    0.80037    0.00000
4.00000    -12.12436    0.47869    0.00000
5.00000    -12.12436    0.46198    0.00000
2.50000    -11.25833    0.67027    0.00000
3.50000    -11.25833    0.69253    0.00000
1.00000    -10.39230    0.97069    0.00000
2.00000    -10.39230    0.97056    0.00000
-0.50000    -9.52628    0.91450    0.00000
0.50000    -9.52628    0.91450    0.00000
-2.00000    -8.66025    0.96143    0.00000
-1.00000    -8.66025    0.95853    0.00000
-3.50000    -7.79423    1.00237    0.00000
-2.50000    -7.79423    1.00323    0.00000
-5.00000    -6.92820    0.99345    0.00000
-4.00000    -6.92820    0.99425    0.00000
-6.50000    -6.06218    1.00366    0.00000
-5.50000    -6.06218    1.00191    0.00000
-8.00000    -5.19615    1.00369    0.00000
-7.00000    -5.19615    1.00977    0.00000
-9.50000    -4.33013    0.99615    0.00000
-8.50000    -4.33013    1.00728    0.00000
-11.00000    -3.46410    0.97300    0.00000
-10.00000    -3.46410    1.01204    0.00000
-12.50000    -2.59808    0.90087    0.00000
-11.50000    -2.59808    1.01501    0.00000
-14.00000    -1.73205    0.31106    0.00000
-13.00000    -1.73205    1.05075    0.00000
-14.50000    -0.86603    -7.45154    0.00000
11.50000    -14.72243    -2.12019    0.00000
12.50000    -14.72243    -1.75282    0.00000
10.00000    -13.85641    -1.24540    0.00000
11.00000    -13.85641    -0.71956    0.00000
8.50000    -12.99038    0.79356    0.00000
9.50000    -12.99038    0.79713    0.00000
7.00000    -12.12436    0.47724    0.00000
8.00000    -12.12436    0.46835    0.00000
5.50000    -11.25833    0.66140    0.00000
6.50000    -11.25833    0.71531    0.00000
4.00000    -10.39230    0.97090    0.00000
5.00000    -10.39230    0.96972    0.00000
2.50000    -9.52628    0.91576    0.00000
3.50000    -9.52628    0.91300    0.00000
1.00000    -8.66025    0.95853    0.00000
2.00000    -8.66025    0.96143    0.00000
-0.50000    -7.79423    1.00295    0.00000
0.50000    -7.79423    1.00295    0.00000
-2.00000    -6.92820    0.99407    0.00000
-1.00000    -6.92820    0.99437    0.00000
-3.50000    -6.06218    1.00381    0.00000
-2.50000    -6.06218    1.00249    0.00000
-5.00000    -5.19615    1.00828    0.00000
-4.00000    -5.19615    1.00947    0.00000
-6.50000    -4.33013    1.00654    0.00000
-5.50000    -4.33013    1.00790    0.00000
-8.00000    -3.46410    1.00542    0.00000
-7.00000    -3.46410    1.00954    0.00000
-9.50000    -2.59808    0.99722    0.00000
-8.50000    -2.59808    1.01091    0.00000
-11.00000    -1.73205    0.97285    0.00000
-10.00000    -1.73205    1.01209    0.00000
-12.50000    -0.86603    0.90094    0.00000
-11.50000    -0.86603    1.01185    0.00000
-14.00000    0.00000    0.31137    0.00000
-13.00000    0.00000    1.05065    0.00000
-14.50000    0.86603    -7.45154    0.00000
14.50000    -14.72243    -32.49879    0.00000
13.00000    -13.85641    -1.61221    0.00000
14.00000    -13.85641    0.63088    0.00000
11.50000    -12.99038    0.81509    0.00000
12.50000    -12.99038    0.69879    0.00000
10.00000    -12.12436    0.42053    0.00000
11.00000    -12.12436    0.48085    0.00000
8.50000    -11.25833    0.65107    0.00000
9.50000    -11.25833    0.76358    0.00000
7.00000    -10.39230    0.97221    0.00000
8.00000    -10.39230    0.96407    0.00000
5.50000    -9.52628    0.91501    0.00000
6.50000    -9.52628    0.91190    0.00000
4.00000    -8.66025    0.95592    0.00000
5.00000    -8.66025    0.96542    0.00000
2.50000    -7.79423    1.00323    0.00000
3.50000    -7.79423    1.00237    0.00000
1.00000    -6.92820    0.99437    0.00000
2.00000    -6.92820    0.99407    0.00000
-0.50000    -6.06218    1.00316    0.00000
0.50000    -6.06218    1.00316    0.00000
-2.00000    -5.19615    1.00910    0.00000
-1.00000    -5.19615    1.00933    0.00000
-3.50000    -4.33013    1.00788    0.00000
-2.50000    -4.33013    1.00809    0.00000
-5.00000    -3.46410    1.00937    0.00000
-4.00000    -3.46410    1.00944    0.00000
-6.50000    -2.59808    1.00857    0.00000
-5.50000    -2.59808    1.01067    0.00000
-8.00000    -1.73205    1.00573    0.00000
-7.00000    -1.73205    1.01032    0.00000
-9.50000    -0.86603    0.99745    0.00000
-8.50000    -0.86603    1.01104    0.00000
-11.00000    0.00000    0.97293    0.00000
-10.00000    0.00000    1.01240    0.00000
-12.50000    0.86603    0.90094    0.00000
-11.50000    0.86603    1.01185    0.00000
-14.00000    1.73205    0.31106    0.00000
-13.00000    1.73205    1.05075    0.00000
-14.50000    2.59808    -7.50973    0.00000
14.50000    -12.99038    -16.50044    0.00000
13.00000    -12.12436    -0.11171    0.00000
