# x        y     profile      z
-0.50000    -12.99038    0.00162    0.00000
0.50000    -12.99038    0.00162    0.00000
-2.00000    -12.12436    0.00976    0.00000
-1.00000    -12.12436    -0.00589    0.00000
-3.50000    -11.25833    0.01345    0.00000
-2.50000    -11.25833    -0.00423    0.00000
-5.00000    -10.39230    0.01412    0.00000
-4.00000    -10.39230    -0.00362    0.00000
-6.50000    -9.52628    0.01283    0.00000
-5.50000    -9.52628    -0.00343    0.00000
-8.00000    -8.66025    0.01049    0.00000
-7.00000    -8.66025    -0.00341    0.00000
-9.50000    -7.79423    0.00743    0.00000
-8.50000    -7.79423    -0.00370    0.00000
-11.00000    -6.92820    0.00259    0.00000
-10.00000    -6.92820    -0.00501    0.00000
-11.50000    -6.06218    -0.00416    0.00000
1.00000    -12.12436    -0.00589    0.00000
2.00000    -12.12436    0.00976    0.00000
-0.50000    -11.25833    -0.00680    0.00000
0.50000    -11.25833    -0.00680    0.00000
-2.00000    -10.39230    -0.00826    0.00000
-1.00000    -10.39230    -0.00474    0.00000
-3.50000    -9.52628    -0.00871    0.00000
-2.50000    -9.52628    -0.00432    0.00000
-5.00000    -8.66025    -0.00864    0.00000
-4.00000    -8.66025    -0.00420    0.00000
-6.50000    -7.79423    -0.00821    0.00000
-5.50000    -7.79423    -0.00424    0.00000
-8.00000    -6.92820    -0.00674    0.00000
-7.00000    -6.92820    -0.00446    0.00000
-9.50000    -6.06218    -0.00409    0.00000
-8.50000    -6.06218    -0.00506    0.00000
-11.00000    -5.19615    -0.00150    0.00000
-10.00000    -5.19615    -0.00774    0.00000
-11.50000    -4.33013    -0.00695    0.00000
2.50000    -11.25833    -0.00423    0.00000
3.50000    -11.25833    0.01345    0.00000
1.00000    -10.39230    -0.00474    0.00000
2.00000    -10.39230    -0.00826    0.00000
-0.50000    -9.52628    -0.00602    0.00000
0.50000    -9.52628    -0.00602    0.00000
-2.00000    -8.66025    -0.00709    0.00000
-1.00000    -8.66025    -0.00558    0.00000
-3.50000    -7.79423    -0.00773    0.00000
-2.50000    -7.79423    -0.00540    0.00000
-5.00000    -6.92820    -0.00780    0.00000
-4.00000    -6.92820    -0.00542    0.00000
-6.50000    -6.06218    -0.00733    0.00000
-5.50000    -6.06218    -0.00561    0.00000
-8.00000    -5.19615    -0.00634    0.00000
-7.00000    -5.19615    -0.00601    0.00000
-9.50000    -4.33013    -0.00458    0.00000
-8.50000    -4.33013    -0.00676    0.00000
-11.00000    -3.46410    -0.00174    0.00000
-10.00000    -3.46410    -0.00953    0.00000
-11.50000    -2.59808    -0.00838    0.00000
4.00000    -10.39230    -0.00362    0.00000
5.00000    -10.39230    0.01412    0.00000
2.50000    -9.52628    -0.00432    0.00000
3.50000    -9.52628    -0.00871    0.00000
1.00000    -8.66025    -0.00558    0.00000
2.00000    -8.66025    -0.00709    0.00000
-0.50000    -7.79423    -0.00658    0.00000
0.50000    -7.79423    -0.00658    0.00000
-2.00000    -6.92820    -0.00719    0.00000
-1.00000    -6.92820    -0.00637    0.00000
-3.50000    -6.06218    -0.00746    0.00000
-2.50000    -6.06218    -0.00637    0.00000
-5.00000    -5.19615    -0.00741    0.00000
-4.00000    -5.19615    -0.00647    0.00000
-6.50000    -4.33013    -0.00691    0.00000
-5.50000    -4.33013    -0.00669    0.00000
-8.00000    -3.46410    -0.00588    0.00000
-7.00000    -3.46410    -0.00714    0.00000
-9.50000    -2.59808    -0.00425    0.00000
-8.50000    -2.59808    -0.00805    0.00000
-11.00000    -1.73205    -0.00159    0.00000
-10.00000    -1.73205    -0.01036    0.00000
-11.50000    -0.86603    -0.00882    0.00000
5.50000    -9.52628    -0.00343    0.00000
6.50000    -9.52628    0.01283    0.00000
4.00000    -8.66025    -0.00420    0.00000
5.00000    -8.66025    -0.00864    0.00000
2.50000    -7.79423    -0.00540    0.00000
3.50000    -7.79423    -0.00773    0.00000
1.00000    -6.92820    -0.00637    0.00000
2.00000    -6.92820    -0.00719    0.00000
-0.50000    -6.06218    -0.00703    0.00000
0.50000    -6.06218    -0.00703    0.00000
-2.00000    -5.19615    -0.00739    0.00000
-1.00000    -5.19615    -0.00701    0.00000
-3.50000    -4.33013    -0.00748    0.00000
-2.50000    -4.33013    -0.00706    0.00000
-5.00000    -3.46410    -0.00728    0.00000
-4.00000    -3.46410    -0.00719    0.00000
-6.50000    -2.59808    -0.00674    0.00000
-5.50000    -2.59808    -0.00741    0.00000
-8.00000    -1.73205    -0.00572    0.00000
-7.00000    -1.73205    -0.00780    0.00000
-9.50000    -0.86603    -0.00411    0.00000
-8.50000    -0.86603    -0.00870    0.00000
-11.00000    -0.00000    -0.00154    0.00000
-10.00000    -0.00000    -0.01058    0.00000
-11.50000    0.86603    -0.00882    0.00000
7.00000    -8.66025    -0.00341    0.00000
8.00000    -8.66025    0.01049    0.00000
5.50000    -7.79423    -0.00424    0.00000
6.50000    -7.79423    -0.00821    0.00000
4.00000    -6.92820    -0.00542    0.00000
5.00000    -6.92820    -0.00780    0.00000
2.50000    -6.06218    -0.00637    0.00000
3.50000    -6.06218    -0.00746    0.00000
1.00000    -5.19615    -0.00701    0.00000
2.00000    -5.19615    -0.00739    0.00000
-0.50000    -4.33013    -0.00739    0.00000
0.50000    -4.33013    -0.00739    0.00000
-2.00000    -3.46410    -0.00756    0.00000
-1.00000    -3.46410    -0.00744    0.00000
-3.50000    -2.59808    -0.00753    0.00000
-2.50000    -2.59808    -0.00750    0.00000
-5.00000    -1.73205    -0.00726    0.00000
-4.00000    -1.73205    -0.00760    0.00000
-6.50000    -0.86603    -0.00668    0.00000
-5.50000    -0.86603    -0.00775    0.00000
-8.00000    -0.00000    -0.00567    0.00000
-7.00000    -0.00000    -0.00801    0.00000
-9.50000    0.86603    -0.00411    0.00000
-8.50000    0.86603    -0.00870    0.00000
-11.00000    1.73205    -0.00159    0.00000
-10.00000    1.73205    -0.01036    0.00000
-11.50000    2.59808    -0.00838    0.00000
8.50000    -7.79423    -0.00370    0.00000
9.50000    -7.79423    0.00743    0.00000
7.00000    -6.92820    -0.00446    0.00000
8.00000    -6.92820    -0.00674    0.00000
5.50000    -6.06218    -0.00561    0.00000
6.50000    -6.06218    -0.00733    0.00000
4.00000    -5.19615    -0.00647    0.00000
5.00000    -5.19615    -0.00741    0.00000
2.50000    -4.33013    -0.00706    0.00000
3.50000    -4.33013    -0.00748    0.00000
1.00000    -3.46410    -0.00744    0.00000
2.00000    -3.46410    -0.00756    0.00000
-0.50000    -2.59808    -0.00763    0.00000
0.50000    -2.59808    -0.00763    0.00000
-2.00000    -1.73205    -0.00768    0.00000
-1.00000    -1.73205    -0.00768    0.00000
-3.50000    -0.86603    -0.00757    0.00000
-2.50000    -0.86603    -0.00771    0.00000
-5.00000    -0.00000    -0.00726    0.00000
-4.00000    -0.00000    -0.00773    0.00000
-6.50000    0.86603    -0.00668    0.00000
-5.50000    0.86603    -0.00775    0.00000
-8.00000    1.73205    -0.00572    0.00000
-7.00000    1.73205    -0.00780    0.00000
-9.50000    2.59808    -0.00425    0.00000
-8.50000    2.59808    -0.00805    0.00000
-11.00000    3.46410    -0.00174    0.00000
-10.00000    3.46410    -0.00953    0.00000
-11.50000    4.33013    -0.00695    0.00000
10.00000    -6.92820    -0.00501    0.00000
11.00000    -6.92820    0.00259    0.00000
8.50000    -6.06218    -0.00506    0.00000
9.50000    -6.06218    -0.00409    0.00000
7.00000    -5.19615    -0.00601    0.00000
8.00000    -5.19615    -0.00634    0.00000
5.50000    -4.33013    -0.00669    0.00000
6.50000    -4.33013    -0.00691    0.00000
4.00000    -3.46410    -0.00719    0.00000
5.00000    -3.46410    -0.00728    0.00000
2.50000    -2.59808    -0.00750    0.00000
3.50000    -2.59808    -0.00753    0.00000
1.00000    -1.73205    -0.00768    0.00000
2.00000    -1.73205    -0.00768    0.00000
-0.50000    -0.86603    -0.00775    0.00000
0.50000    -0.86603    -0.00775    0.00000
-2.00000    -0.00000    -0.00772    0.00000
-1.00000    0.00000    -0.00776    0.00000
-3.50000    0.86603    -0.00757    0.00000
-2.50000    0.86603    -0.00771    0.00000
-5.00000    1.73205    -0.00726    0.00000
-4.00000    1.73205    -0.00760    0.00000
-6.50000    2.59808    -0.00674    0.00000
