# x        y     profile      z
0.00000    -4.00000    0.03331    0.00000
-0.86603    -3.50000    0.03331    0.00000
-1.73205    -3.00000    -0.16662    0.00000
0.86603    -3.50000    0.03331    0.00000
0.00000    -3.00000    0.13338    0.00000
-0.86603    -2.50000    0.03331    0.00000
1.73205    -3.00000    -0.16662    0.00000
0.86603    -2.50000    0.03331    0.00000
0.00000    -2.00000    0.03331    0.00000
-2.59808    -2.50000    0.03331    0.00000
-3.46410    -2.00000    0.03331    0.00000
-4.33013    -1.50000    -0.16662    0.00000
-1.73205    -2.00000    0.03331    0.00000
-2.59808    -1.50000    0.13338    0.00000
-3.46410    -1.00000    0.03331    0.00000
-0.86603    -1.50000    -0.16662    0.00000
-1.73205    -1.00000    0.03331    0.00000
-2.59808    -0.50000    0.03331    0.00000
-5.19615    -1.00000    0.03331    0.00000
-6.06218    -0.50000    0.03331    0.00000
-6.92820    0.00000    -0.16662    0.00000
-4.33013    -0.50000    0.03331    0.00000
-5.19615    0.00000    0.13338    0.00000
-6.06218    0.50000    0.03331    0.00000
-3.46410    0.00000    -0.16662    0.00000
-4.33013    0.50000    0.03331    0.00000
-5.19615    1.00000    0.03331    0.00000
2.59808    -2.50000    0.03331    0.00000
1.73205    -2.00000    0.03331    0.00000
0.86603    -1.50000    -0.16662    0.00000
3.46410    -2.00000    0.03331    0.00000
2.59808    -1.50000    0.13338    0.00000
1.73205    -1.00000    0.03331    0.00000
4.33013    -1.50000    -0.16662    0.00000
3.46410    -1.00000    0.03331    0.00000
2.59808    -0.50000    0.03331    0.00000
0.00000    -1.00000    0.03331    0.00000
-0.86603    -0.50000    0.03331    0.00000
-1.73205    0.00000    -0.16662    0.00000
0.86603    -0.50000    0.03331    0.00000
0.00000    0.00000    0.13338    0.00000
-0.86603    0.50000    0.03331    0.00000
1.73205    0.00000    -0.16662    0.00000
0.86603    0.50000    0.03331    0.00000
0.00000    1.00000    0.03331    0.00000
-2.59808    0.50000    0.03331    0.00000
-3.46410    1.00000    0.03331    0.00000
-4.33013    1.50000    -0.16662    0.00000
-1.73205    1.00000    0.03331    0.00000
-2.59808    1.50000    0.13338    0.00000
-3.46410    2.00000    0.03331    0.00000
-0.86603    1.50000    -0.16662    0.00000
-1.73205    2.00000    0.03331    0.00000
-2.59808    2.50000    0.03331    0.00000
5.19615    -1.00000    0.03331    0.00000
4.33013    -0.50000    0.03331    0.00000
3.46410    0.00000    -0.16662    0.00000
6.06218    -0.50000    0.03331    0.00000
5.19615    0.00000    0.13338    0.00000
4.33013    0.50000    0.03331    0.00000
6.92820    0.00000    -0.16662    0.00000
6.06218    0.50000    0.03331    0.00000
5.19615    1.00000    0.03331    0.00000
2.59808    0.50000    0.03331    0.00000
1.73205    1.00000    0.03331    0.00000
0.86603    1.50000    -0.16662    0.00000
3.46410    1.00000    0.03331    0.00000
2.59808    1.50000    0.13338    0.00000
1.73205    2.00000    0.03331    0.00000
4.33013    1.50000    -0.16662    0.00000
3.46410    2.00000    0.03331    0.00000
2.59808    2.50000    0.03331    0.00000
0.00000    2.00000    0.03331    0.00000
-0.86603    2.50000    0.03331    0.00000
-1.73205    3.00000    -0.16662    0.00000
0.86603    2.50000    0.03331    0.00000
0.00000    3.00000    0.13338    0.00000
-0.86603    3.50000    0.03331    0.00000
1.73205    3.00000    -0.16662    0.00000
0.86603    3.50000    0.03331    0.00000
0.00000    4.00000    0.03331    0.00000
