# x        y     profile      z
-0.50000    -30.31089    -0.00730    0.00000
0.50000    -30.31089    -0.00730    0.00000
-2.00000    -29.44486    -0.00666    0.00000
-1.00000    -29.44486    -0.00786    0.00000
-3.50000    -28.57884    -0.00737    0.00000
-2.50000    -28.57884    -0.00191    0.00000
-5.00000    -27.71281    -0.00737    0.00000
-4.00000    -27.71281    -0.01410    0.00000
-6.50000    -26.84679    -0.00666    0.00000
-5.50000    -26.84679    -0.00191    0.00000
-8.00000    -25.98076    -0.00730    0.00000
-7.00000    -25.98076    -0.00786    0.00000
-9.50000    -25.11474    -0.00588    0.00000
-8.50000    -25.11474    -0.00730    0.00000
-11.00000    -24.24871    -0.00687    0.00000
-10.00000    -24.24871    -0.00610    0.00000
-12.50000    -23.38269    -0.00624    0.00000
-11.50000    -23.38269    -0.00682    0.00000
-14.00000    -22.51666    -0.00624    0.00000
-13.00000    -22.51666    -0.00604    0.00000
-15.50000    -21.65064    -0.00687    0.00000
-14.50000    -21.65064    -0.00682    0.00000
-17.00000    -20.78461    -0.00588    0.00000
-16.00000    -20.78461    -0.00610    0.00000
1.00000    -29.44486    -0.00785    0.00000
2.00000    -29.44486    -0.00667    0.00000
-0.50000    -28.57884    -0.00438    0.00000
0.50000    -28.57884    -0.00439    0.00000
-2.00000    -27.71281    -0.01830    0.00000
-1.00000    -27.71281    -0.01850    0.00000
-3.50000    -26.84679    0.00760    0.00000
-2.50000    -26.84679    -0.00134    0.00000
-5.00000    -25.98076    -0.01830    0.00000
-4.00000    -25.98076    -0.00134    0.00000
-6.50000    -25.11474    -0.00438    0.00000
-5.50000    -25.11474    -0.01850    0.00000
-8.00000    -24.24871    -0.00785    0.00000
-7.00000    -24.24871    -0.00439    0.00000
-9.50000    -23.38269    -0.00687    0.00000
-8.50000    -23.38269    -0.00667    0.00000
-11.00000    -22.51666    -0.00592    0.00000
-10.00000    -22.51666    -0.00682    0.00000
-12.50000    -21.65064    -0.00666    0.00000
-11.50000    -21.65064    -0.00635    0.00000
-14.00000    -20.78461    -0.00592    0.00000
-13.00000    -20.78461    -0.00635    0.00000
-15.50000    -19.91858    -0.00687    0.00000
-14.50000    -19.91858    -0.00682    0.00000
2.50000    -28.57884    -0.00191    0.00000
3.50000    -28.57884    -0.00738    0.00000
1.00000    -27.71281    -0.01849    0.00000
2.00000    -27.71281    -0.01832    0.00000
-0.50000    -26.84679    0.00292    0.00000
0.50000    -26.84679    0.00291    0.00000
-2.00000    -25.98076    0.00278    0.00000
-1.00000    -25.98076    0.00820    0.00000
-3.50000    -25.11474    0.00278    0.00000
-2.50000    -25.11474    -0.00443    0.00000
-5.00000    -24.24871    0.00292    0.00000
-4.00000    -24.24871    0.00820    0.00000
-6.50000    -23.38269    -0.01849    0.00000
-5.50000    -23.38269    0.00291    0.00000
-8.00000    -22.51666    -0.00191    0.00000
-7.00000    -22.51666    -0.01832    0.00000
-9.50000    -21.65064    -0.00624    0.00000
-8.50000    -21.65064    -0.00738    0.00000
-11.00000    -20.78461    -0.00666    0.00000
-10.00000    -20.78461    -0.00604    0.00000
-12.50000    -19.91858    -0.00666    0.00000
-11.50000    -19.91858    -0.00635    0.00000
-14.00000    -19.05256    -0.00624    0.00000
-13.00000    -19.05256    -0.00604    0.00000
4.00000    -27.71281    -0.01409    0.00000
5.00000    -27.71281    -0.00738    0.00000
2.50000    -26.84679    -0.00132    0.00000
3.50000    -26.84679    0.00758    0.00000
1.00000    -25.98076    0.00821    0.00000
2.00000    -25.98076    0.00278    0.00000
-0.50000    -25.11474    0.00258    0.00000
0.50000    -25.11474    0.00258    0.00000
-2.00000    -24.24871    0.00798    0.00000
-1.00000    -24.24871    0.00613    0.00000
-3.50000    -23.38269    0.00258    0.00000
-2.50000    -23.38269    0.00613    0.00000
-5.00000    -22.51666    0.00821    0.00000
-4.00000    -22.51666    0.00258    0.00000
-6.50000    -21.65064    -0.00132    0.00000
-5.50000    -21.65064    0.00278    0.00000
-8.00000    -20.78461    -0.01409    0.00000
-7.00000    -20.78461    0.00758    0.00000
-9.50000    -19.91858    -0.00624    0.00000
-8.50000    -19.91858    -0.00738    0.00000
-11.00000    -19.05256    -0.00592    0.00000
-10.00000    -19.05256    -0.00682    0.00000
-12.50000    -18.18653    -0.00624    0.00000
-11.50000    -18.18653    -0.00682    0.00000
5.50000    -26.84679    -0.00191    0.00000
6.50000    -26.84679    -0.00667    0.00000
4.00000    -25.98076    -0.00132    0.00000
5.00000    -25.98076    -0.01832    0.00000
2.50000    -25.11474    -0.00443    0.00000
3.50000    -25.11474    0.00278    0.00000
1.00000    -24.24871    0.00613    0.00000
2.00000    -24.24871    0.00797    0.00000
-0.50000    -23.38269    0.00614    0.00000
0.50000    -23.38269    0.00613    0.00000
-2.00000    -22.51666    0.00614    0.00000
-1.00000    -22.51666    0.00559    0.00000
-3.50000    -21.65064    0.00613    0.00000
-2.50000    -21.65064    0.00613    0.00000
-5.00000    -20.78461    -0.00443    0.00000
-4.00000    -20.78461    0.00797    0.00000
-6.50000    -19.91858    -0.00132    0.00000
-5.50000    -19.91858    0.00278    0.00000
-8.00000    -19.05256    -0.00191    0.00000
-7.00000    -19.05256    -0.01832    0.00000
-9.50000    -18.18653    -0.00687    0.00000
-8.50000    -18.18653    -0.00667    0.00000
-11.00000    -17.32051    -0.00687    0.00000
-10.00000    -17.32051    -0.00610    0.00000
7.00000    -25.98076    -0.00785    0.00000
8.00000    -25.98076    -0.00730    0.00000
5.50000    -25.11474    -0.01849    0.00000
6.50000    -25.11474    -0.00439    0.00000
4.00000    -24.24871    0.00821    0.00000
5.00000    -24.24871    0.00291    0.00000
2.50000    -23.38269    0.00613    0.00000
3.50000    -23.38269    0.00258    0.00000
1.00000    -22.51666    0.00560    0.00000
2.00000    -22.51666    0.00613    0.00000
-0.50000    -21.65064    0.00624    0.00000
0.50000    -21.65064    0.00624    0.00000
-2.00000    -20.78461    0.00560    0.00000
-1.00000    -20.78461    0.00624    0.00000
-3.50000    -19.91858    0.00613    0.00000
-2.50000    -19.91858    0.00613    0.00000
-5.00000    -19.05256    0.00821    0.00000
-4.00000    -19.05256    0.00258    0.00000
-6.50000    -18.18653    -0.01849    0.00000
-5.50000    -18.18653    0.00291    0.00000
