# x        y       z        profile
-0.50000    -12.12436    0.00000    0.07963
0.50000    -12.12436    0.00000    0.07963
-2.00000    -11.25833    0.00000    0.07963
-1.00000    -11.25833    0.00000    0.07963
-3.50000    -10.39230    0.00000    0.07963
-2.50000    -10.39230    0.00000    0.07963
-5.00000    -9.52628    0.00000    0.07963
-4.00000    -9.52628    0.00000    0.07963
-6.50000    -8.66025    0.00000    0.07963
-5.50000    -8.66025    0.00000    0.07963
1.00000    -11.25833    0.00000    0.07963
2.00000    -11.25833    0.00000    0.07963
-0.50000    -10.39230    0.00000    0.07963
0.50000    -10.39230    0.00000    0.07963
-2.00000    -9.52628    0.00000    0.07963
-1.00000    -9.52628    0.00000    0.07963
-3.50000    -8.66025    0.00000    0.07963
-2.50000    -8.66025    0.00000    0.07963
-5.00000    -7.79423    0.00000    0.07963
-4.00000    -7.79423    0.00000    0.07963
2.50000    -10.39230    0.00000    0.07963
3.50000    -10.39230    0.00000    0.07963
1.00000    -9.52628    0.00000    0.07963
2.00000    -9.52628    0.00000    0.07963
-0.50000    -8.66025    0.00000    0.07963
0.50000    -8.66025    0.00000    0.07963
-2.00000    -7.79423    0.00000    0.07963
-1.00000    -7.79423    0.00000    0.07963
-3.50000    -6.92820    0.00000    0.07963
-2.50000    -6.92820    0.00000    0.07963
4.00000    -9.52628    0.00000    0.07963
5.00000    -9.52628    0.00000    0.07963
2.50000    -8.66025    0.00000    0.07963
3.50000    -8.66025    0.00000    0.07963
1.00000    -7.79423    0.00000    0.07963
2.00000    -7.79423    0.00000    0.07963
-0.50000    -6.92820    0.00000    0.07963
0.50000    -6.92820    0.00000    0.07963
-2.00000    -6.06218    0.00000    0.07963
-1.00000    -6.06218    0.00000    0.07963
5.50000    -8.66025    0.00000    0.07963
6.50000    -8.66025    0.00000    0.07963
4.00000    -7.79423    0.00000    0.07963
5.00000    -7.79423    0.00000    0.07963
2.50000    -6.92820    0.00000    0.07963
3.50000    -6.92820    0.00000    0.07963
1.00000    -6.06218    0.00000    0.07963
2.00000    -6.06218    0.00000    0.07963
-0.50000    -5.19615    0.00000    0.07963
0.50000    -5.19615    0.00000    0.07963
-8.00000    -7.79423    0.00000    0.07963
-7.00000    -7.79423    0.00000    0.07963
-9.50000    -6.92820    0.00000    0.07963
-8.50000    -6.92820    0.00000    0.07963
-11.00000    -6.06218    0.00000    0.07963
-10.00000    -6.06218    0.00000    0.07963
-12.50000    -5.19615    0.00000    0.07963
-11.50000    -5.19615    0.00000    0.07963
-14.00000    -4.33013    0.00000    0.07963
-13.00000    -4.33013    0.00000    0.07963
-6.50000    -6.92820    0.00000    0.07963
-5.50000    -6.92820    0.00000    0.07963
-8.00000    -6.06218    0.00000    0.07963
-7.00000    -6.06218    0.00000    0.07963
-9.50000    -5.19615    0.00000    0.07963
-8.50000    -5.19615    0.00000    0.07963
-11.00000    -4.33013    0.00000    0.07963
-10.00000    -4.33013    0.00000    0.07963
-12.50000    -3.46410    0.00000    0.07963
-11.50000    -3.46410    0.00000    0.07963
-5.00000    -6.06218    0.00000    0.07963
-4.00000    -6.06218    0.00000    0.07963
-6.50000    -5.19615    0.00000    0.07963
-5.50000    -5.19615    0.00000    0.07963
-8.00000    -4.33013    0.00000    0.07963
-7.00000    -4.33013    0.00000    0.07963
-9.50000    -3.46410    0.00000    0.07963
-8.50000    -3.46410    0.00000    0.07963
-11.00000    -2.59808    0.00000    0.07963
-10.00000    -2.59808    0.00000    0.07963
-3.50000    -5.19615    0.00000    0.07963
-2.50000    -5.19615    0.00000    0.07963
-5.00000    -4.33013    0.00000    0.07963
-4.00000    -4.33013    0.00000    0.07963
-6.50000    -3.46410    0.00000    0.07963
-5.50000    -3.46410    0.00000    0.07963
-8.00000    -2.59808    0.00000    0.07963
-7.00000    -2.59808    0.00000    0.07963
-9.50000    -1.73205    0.00000    0.07963
-8.50000    -1.73205    0.00000    0.07963
-2.00000    -4.33013    0.00000    0.07963
-1.00000    -4.33013    0.00000    0.07963
-3.50000    -3.46410    0.00000    0.07963
-2.50000    -3.46410    0.00000    0.07963
-5.00000    -2.59808    0.00000    0.07963
-4.00000    -2.59808    0.00000    0.07963
-6.50000    -1.73205    0.00000    0.07963
-5.50000    -1.73205    0.00000    0.07963
-8.00000    -0.86603    0.00000    0.07963
-7.00000    -0.86603    0.00000    0.07963
-15.50000    -3.46410    0.00000    0.07963
-14.50000    -3.46410    0.00000    0.07963
-17.00000    -2.59808    0.00000    0.07963
-16.00000    -2.59808    0.00000    0.07963
-18.50000    -1.73205    0.00000    0.07963
-17.50000    -1.73205    0.00000    0.07963
-20.00000    -0.86603    0.00000    0.07963
-19.00000    -0.86603    0.00000    0.07963
-21.50000    0.00000    0.00000    0.07963
-20.50000    0.00000    0.00000    0.07963
-14.00000    -2.59808    0.00000    0.07963
-13.00000    -2.59808    0.00000    0.07963
-15.50000    -1.73205    0.00000    0.07963
-14.50000    -1.73205    0.00000    0.07963
-17.00000    -0.86603    0.00000    0.07963
-16.00000    -0.86603    0.00000    0.07963
-18.50000    0.00000    0.00000    0.07963
-17.50000    0.00000    0.00000    0.07963
-20.00000    0.86603    0.00000    0.07963
-19.00000    0.86603    0.00000    0.07963
-12.50000    -1.73205    0.00000    0.07963
-11.50000    -1.73205    0.00000    0.07963
-14.00000    -0.86603    0.00000    0.07963
-13.00000    -0.86603    0.00000    0.07963
-15.50000    0.00000    0.00000    0.07963
