# x        y       z        profile
-0.50000    -1.73205    0.00000    -0.00663
0.50000    -1.73205    0.00000    0.00663
-2.00000    -0.86603    0.00000    -0.00663
-1.00000    -0.86603    0.00000    0.00663
-3.50000    0.00000    0.00000    -0.00663
-2.50000    0.00000    0.00000    0.00663
1.00000    -0.86603    0.00000    -0.00663
2.00000    -0.86603    0.00000    0.00663
-0.50000    0.00000    0.00000    -0.00663
0.50000    0.00000    0.00000    0.00663
-2.00000    0.86603    0.00000    -0.00663
-1.00000    0.86603    0.00000    0.00663
2.50000    0.00000    0.00000    -0.00663
3.50000    0.00000    0.00000    0.00663
1.00000    0.86603    0.00000    -0.00663
2.00000    0.86603    0.00000    0.00663
-0.50000    1.73205    0.00000    -0.00663
0.50000    1.73205    0.00000    0.00663
