# x        y       z        profile
-0.50000    -1.73205    0.00000    -0.33468
0.50000    -1.73205    0.00000    0.33468
-2.00000    -0.86603    0.00000    -0.33468
-1.00000    -0.86603    0.00000    0.33468
-3.50000    0.00000    0.00000    -0.33468
-2.50000    0.00000    0.00000    0.33468
1.00000    -0.86603    0.00000    -0.33468
2.00000    -0.86603    0.00000    0.33468
-0.50000    0.00000    0.00000    -0.33468
0.50000    0.00000    0.00000    0.33468
-2.00000    0.86603    0.00000    -0.33468
-1.00000    0.86603    0.00000    0.33468
2.50000    0.00000    0.00000    -0.33468
3.50000    0.00000    0.00000    0.33468
1.00000    0.86603    0.00000    -0.33468
2.00000    0.86603    0.00000    0.33468
-0.50000    1.73205    0.00000    -0.33468
0.50000    1.73205    0.00000    0.33468
