# x        y       z        profile
-3.66667    -3.33333    0.00000    -0.00000
-2.66667    -3.33333    0.00000    0.00000
-2.66667    -2.33333    0.00000    -0.00000
-3.66667    -1.33333    0.00000    -0.00000
-2.66667    -1.33333    0.00000    0.00000
-2.66667    -0.33333    0.00000    -0.00000
-3.66667    0.66667    0.00000    -0.00000
-2.66667    0.66667    0.00000    0.00000
-2.66667    1.66667    0.00000    -0.00000
-3.66667    2.66667    0.00000    -0.00000
-2.66667    2.66667    0.00000    0.00000
-2.66667    3.66667    0.00000    -0.00000
-1.66667    -3.33333    0.00000    -0.00000
-0.66667    -3.33333    0.00000    0.00000
-0.66667    -2.33333    0.00000    -0.00000
-1.66667    -1.33333    0.00000    -0.00000
-0.66667    -1.33333    0.00000    0.00000
-0.66667    -0.33333    0.00000    -0.00000
-1.66667    0.66667    0.00000    -0.00000
-0.66667    0.66667    0.00000    0.00000
-0.66667    1.66667    0.00000    -0.00000
-1.66667    2.66667    0.00000    -0.00000
-0.66667    2.66667    0.00000    0.00000
-0.66667    3.66667    0.00000    -0.00000
0.33333    -3.33333    0.00000    -0.00000
1.33333    -3.33333    0.00000    0.00000
1.33333    -2.33333    0.00000    -0.00000
0.33333    -1.33333    0.00000    -0.00000
1.33333    -1.33333    0.00000    0.00000
1.33333    -0.33333    0.00000    -0.00000
0.33333    0.66667    0.00000    -0.00000
1.33333    0.66667    0.00000    0.00000
1.33333    1.66667    0.00000    -0.00000
0.33333    2.66667    0.00000    -0.00000
1.33333    2.66667    0.00000    0.00000
1.33333    3.66667    0.00000    -0.00000
2.33333    -3.33333    0.00000    -0.00000
3.33333    -3.33333    0.00000    0.00000
3.33333    -2.33333    0.00000    -0.00000
2.33333    -1.33333    0.00000    -0.00000
3.33333    -1.33333    0.00000    0.00000
3.33333    -0.33333    0.00000    -0.00000
2.33333    0.66667    0.00000    -0.00000
3.33333    0.66667    0.00000    0.00000
3.33333    1.66667    0.00000    -0.00000
2.33333    2.66667    0.00000    -0.00000
3.33333    2.66667    0.00000    0.00000
3.33333    3.66667    0.00000    -0.00000
