# x        y       z        profile
-3.66667    -3.33333    0.00000    -0.14097
-2.66667    -3.33333    0.00000    0.00010
-2.66667    -2.33333    0.00000    -0.14097
-3.66667    -1.33333    0.00000    -0.14097
-2.66667    -1.33333    0.00000    0.00010
-2.66667    -0.33333    0.00000    -0.14097
-3.66667    0.66667    0.00000    -0.14097
-2.66667    0.66667    0.00000    0.00010
-2.66667    1.66667    0.00000    -0.14097
-3.66667    2.66667    0.00000    -0.14097
-2.66667    2.66667    0.00000    0.00010
-2.66667    3.66667    0.00000    -0.14097
-1.66667    -3.33333    0.00000    -0.14097
-0.66667    -3.33333    0.00000    0.00010
-0.66667    -2.33333    0.00000    -0.14097
-1.66667    -1.33333    0.00000    -0.14097
-0.66667    -1.33333    0.00000    0.00010
-0.66667    -0.33333    0.00000    -0.14097
-1.66667    0.66667    0.00000    -0.14097
-0.66667    0.66667    0.00000    0.00010
-0.66667    1.66667    0.00000    -0.14097
-1.66667    2.66667    0.00000    -0.14097
-0.66667    2.66667    0.00000    0.00010
-0.66667    3.66667    0.00000    -0.14097
0.33333    -3.33333    0.00000    -0.14097
1.33333    -3.33333    0.00000    0.00010
1.33333    -2.33333    0.00000    -0.14097
0.33333    -1.33333    0.00000    -0.14097
1.33333    -1.33333    0.00000    0.00010
1.33333    -0.33333    0.00000    -0.14097
0.33333    0.66667    0.00000    -0.14097
1.33333    0.66667    0.00000    0.00010
1.33333    1.66667    0.00000    -0.14097
0.33333    2.66667    0.00000    -0.14097
1.33333    2.66667    0.00000    0.00010
1.33333    3.66667    0.00000    -0.14097
2.33333    -3.33333    0.00000    -0.14097
3.33333    -3.33333    0.00000    0.00010
3.33333    -2.33333    0.00000    -0.14097
2.33333    -1.33333    0.00000    -0.14097
3.33333    -1.33333    0.00000    0.00010
3.33333    -0.33333    0.00000    -0.14097
2.33333    0.66667    0.00000    -0.14097
3.33333    0.66667    0.00000    0.00010
3.33333    1.66667    0.00000    -0.14097
2.33333    2.66667    0.00000    -0.14097
3.33333    2.66667    0.00000    0.00010
3.33333    3.66667    0.00000    -0.14097
