# x        y       z        profile
3.24091    -5.40929    2.16667    -0.80000
2.76950    -4.59279    1.83333    0.80000
2.76950    -4.59279    0.83333    -0.80000
2.29810    -5.40929    0.50000    0.80000
2.29810    -3.77630    -0.50000    0.00000
3.24091    -5.40929    -0.83333    0.00000
3.24091    -5.40929    -1.83333    0.00000
2.76950    -4.59279    -2.16667    0.00000
1.82669    -4.59279    2.16667    -0.80000
1.35529    -3.77630    1.83333    0.80000
1.35529    -3.77630    0.83333    -0.80000
0.88388    -4.59279    0.50000    0.80000
0.88388    -2.95980    -0.50000    0.00000
1.82669    -4.59279    -0.83333    0.00000
1.82669    -4.59279    -1.83333    0.00000
1.35529    -3.77630    -2.16667    0.00000
0.41248    -3.77630    2.16667    -0.80000
-0.05893    -2.95980    1.83333    0.80000
-0.05893    -2.95980    0.83333    -0.80000
-0.53033    -3.77630    0.50000    0.80000
-0.53033    -2.14330    -0.50000    0.00000
0.41248    -3.77630    -0.83333    0.00000
0.41248    -3.77630    -1.83333    0.00000
-0.05893    -2.95980    -2.16667    0.00000
-1.00173    -2.95980    2.16667    -0.80000
-1.47314    -2.14330    1.83333    0.80000
-1.47314    -2.14330    0.83333    -0.80000
-1.94454    -2.95980    0.50000    0.80000
-1.94454    -1.32681    -0.50000    0.00000
-1.00173    -2.95980    -0.83333    0.00000
-1.00173    -2.95980    -1.83333    0.00000
-1.47314    -2.14330    -2.16667    0.00000
-2.41595    -2.14330    2.16667    -0.80000
-2.88735    -1.32681    1.83333    0.80000
-2.88735    -1.32681    0.83333    -0.80000
-3.35876    -2.14330    0.50000    0.80000
-3.35876    -0.51031    -0.50000    0.00000
-2.41595    -2.14330    -0.83333    0.00000
-2.41595    -2.14330    -1.83333    0.00000
-2.88735    -1.32681    -2.16667    0.00000
3.24091    -3.77630    2.16667    -0.80000
2.76950    -2.95980    1.83333    0.80000
2.76950    -2.95980    0.83333    -0.80000
2.29810    -3.77630    0.50000    0.80000
2.29810    -2.14330    -0.50000    0.00000
3.24091    -3.77630    -0.83333    0.00000
3.24091    -3.77630    -1.83333    0.00000
2.76950    -2.95980    -2.16667    0.00000
1.82669    -2.95980    2.16667    -0.80000
1.35529    -2.14330    1.83333    0.80000
1.35529    -2.14330    0.83333    -0.80000
0.88388    -2.95980    0.50000    0.80000
0.88388    -1.32681    -0.50000    0.00000
1.82669    -2.95980    -0.83333    0.00000
1.82669    -2.95980    -1.83333    0.00000
1.35529    -2.14330    -2.16667    0.00000
0.41248    -2.14330    2.16667    -0.80000
-0.05893    -1.32681    1.83333    0.80000
-0.05893    -1.32681    0.83333    -0.80000
-0.53033    -2.14330    0.50000    0.80000
-0.53033    -0.51031    -0.50000    0.00000
0.41248    -2.14330    -0.83333    0.00000
0.41248    -2.14330    -1.83333    0.00000
-0.05893    -1.32681    -2.16667    0.00000
-1.00173    -1.32681    2.16667    -0.80000
-1.47314    -0.51031    1.83333    0.80000
-1.47314    -0.51031    0.83333    -0.80000
-1.94454    -1.32681    0.50000    0.80000
-1.94454    0.30619    -0.50000    0.00000
-1.00173    -1.32681    -0.83333    0.00000
-1.00173    -1.32681    -1.83333    0.00000
-1.47314    -0.51031    -2.16667    0.00000
-2.41595    -0.51031    2.16667    -0.80000
-2.88735    0.30619    1.83333    0.80000
-2.88735    0.30619    0.83333    -0.80000
-3.35876    -0.51031    0.50000    0.80000
-3.35876    1.12268    -0.50000    0.00000
-2.41595    -0.51031    -0.83333    0.00000
-2.41595    -0.51031    -1.83333    0.00000
-2.88735    0.30619    -2.16667    0.00000
3.24091    -2.14330    2.16667    -0.80000
2.76950    -1.32681    1.83333    0.80000
2.76950    -1.32681    0.83333    -0.80000
2.29810    -2.14330    0.50000    0.80000
2.29810    -0.51031    -0.50000    0.00000
3.24091    -2.14330    -0.83333    0.00000
3.24091    -2.14330    -1.83333    0.00000
2.76950    -1.32681    -2.16667    0.00000
1.82669    -1.32681    2.16667    -0.80000
1.35529    -0.51031    1.83333    0.80000
1.35529    -0.51031    0.83333    -0.80000
0.88388    -1.32681    0.50000    0.80000
0.88388    0.30619    -0.50000    0.00000
1.82669    -1.32681    -0.83333    0.00000
1.82669    -1.32681    -1.83333    0.00000
1.35529    -0.51031    -2.16667    0.00000
0.41248    -0.51031    2.16667    -0.80000
-0.05893    0.30619    1.83333    0.80000
-0.05893    0.30619    0.83333    -0.80000
-0.53033    -0.51031    0.50000    0.80000
-0.53033    1.12268    -0.50000    0.00000
0.41248    -0.51031    -0.83333    0.00000
0.41248    -0.51031    -1.83333    0.00000
-0.05893    0.30619    -2.16667    0.00000
-1.00173    0.30619    2.16667    -0.80000
-1.47314    1.12268    1.83333    0.80000
-1.47314    1.12268    0.83333    -0.80000
-1.94454    0.30619    0.50000    0.80000
-1.94454    1.93918    -0.50000    0.00000
-1.00173    0.30619    -0.83333    0.00000
-1.00173    0.30619    -1.83333    0.00000
-1.47314    1.12268    -2.16667    0.00000
-2.41595    1.12268    2.16667    -0.80000
-2.88735    1.93918    1.83333    0.80000
-2.88735    1.93918    0.83333    -0.80000
-3.35876    1.12268    0.50000    0.80000
-3.35876    2.75568    -0.50000    0.00000
-2.41595    1.12268    -0.83333    0.00000
-2.41595    1.12268    -1.83333    0.00000
-2.88735    1.93918    -2.16667    0.00000
3.24091    -0.51031    2.16667    -0.80000
2.76950    0.30619    1.83333    0.80000
2.76950    0.30619    0.83333    -0.80000
2.29810    -0.51031    0.50000    0.80000
2.29810    1.12268    -0.50000    0.00000
3.24091    -0.51031    -0.83333    0.00000
3.24091    -0.51031    -1.83333    0.00000
2.76950    0.30619    -2.16667    0.00000
1.82669    0.30619    2.16667    -0.80000
1.35529    1.12268    1.83333    0.80000
1.35529    1.12268    0.83333    -0.80000
