# x        y       z        profile
5.42115    -9.38971    0.83333    0.00000
4.94975    -10.20621    0.50000    0.00000
6.36396    -9.38971    -0.50000    0.00000
5.89256    -10.20621    -0.83333    0.00000
4.00694    -8.57321    0.83333    0.00000
3.53553    -9.38971    0.50000    0.00000
4.94975    -8.57321    -0.50000    0.00000
4.47834    -9.38971    -0.83333    0.00000
2.59272    -7.75672    0.83333    0.00000
2.12132    -8.57321    0.50000    0.00000
3.53553    -7.75672    -0.50000    0.00000
3.06413    -8.57321    -0.83333    0.00000
5.42115    -7.75672    0.83333    0.00000
4.94975    -8.57321    0.50000    0.00000
6.36396    -7.75672    -0.50000    0.00000
5.89256    -8.57321    -0.83333    0.00000
4.00694    -6.94022    0.83333    0.00000
3.53553    -7.75672    0.50000    0.00000
4.94975    -6.94022    -0.50000    0.00000
4.47834    -7.75672    -0.83333    0.00000
2.59272    -6.12372    0.83333    0.00000
2.12132    -6.94022    0.50000    0.00000
3.53553    -6.12372    -0.50000    0.00000
3.06413    -6.94022    -0.83333    0.00000
5.42115    -6.12372    0.83333    0.00000
4.94975    -6.94022    0.50000    0.00000
6.36396    -6.12372    -0.50000    0.00000
5.89256    -6.94022    -0.83333    0.00000
4.00694    -5.30723    0.83333    0.00000
3.53553    -6.12372    0.50000    0.00000
4.94975    -5.30723    -0.50000    0.00000
4.47834    -6.12372    -0.83333    0.00000
2.59272    -4.49073    0.83333    0.00000
2.12132    -5.30723    0.50000    0.00000
3.53553    -4.49073    -0.50000    0.00000
3.06413    -5.30723    -0.83333    0.00000
1.17851    -6.94022    0.83333    0.00000
0.70711    -7.75672    0.50000    0.00000
2.12132    -6.94022    -0.50000    0.00000
1.64992    -7.75672    -0.83333    0.00000
-0.23570    -6.12372    0.83333    0.00000
-0.70711    -6.94022    0.50000    0.00000
0.70711    -6.12372    -0.50000    0.00000
0.23570    -6.94022    -0.83333    0.00000
-1.64992    -5.30723    0.83333    0.00000
-2.12132    -6.12372    0.50000    0.00000
-0.70711    -5.30723    -0.50000    0.00000
-1.17851    -6.12372    -0.83333    0.00000
1.17851    -5.30723    0.83333    0.00000
0.70711    -6.12372    0.50000    0.00000
2.12132    -5.30723    -0.50000    0.00000
1.64992    -6.12372    -0.83333    0.00000
-0.23570    -4.49073    0.83333    0.00000
-0.70711    -5.30723    0.50000    0.00000
0.70711    -4.49073    -0.50000    0.00000
0.23570    -5.30723    -0.83333    0.00000
-1.64992    -3.67423    0.83333    0.00000
-2.12132    -4.49073    0.50000    0.00000
-0.70711    -3.67423    -0.50000    0.00000
-1.17851    -4.49073    -0.83333    0.00000
1.17851    -3.67423    0.83333    0.00000
0.70711    -4.49073    0.50000    0.00000
2.12132    -3.67423    -0.50000    0.00000
1.64992    -4.49073    -0.83333    0.00000
-0.23570    -2.85774    0.83333    0.00000
-0.70711    -3.67423    0.50000    0.00000
0.70711    -2.85774    -0.50000    0.00000
0.23570    -3.67423    -0.83333    0.00000
-1.64992    -2.04124    0.83333    0.00000
-2.12132    -2.85774    0.50000    0.00000
-0.70711    -2.04124    -0.50000    0.00000
-1.17851    -2.85774    -0.83333    0.00000
-3.06413    -4.49073    0.83333    0.00000
-3.53553    -5.30723    0.50000    0.00000
-2.12132    -4.49073    -0.50000    0.00000
-2.59272    -5.30723    -0.83333    0.00000
-4.47834    -3.67423    0.83333    0.00000
-4.94975    -4.49073    0.50000    0.00000
-3.53553    -3.67423    -0.50000    0.00000
-4.00694    -4.49073    -0.83333    0.00000
-5.89256    -2.85774    0.83333    0.00000
-6.36396    -3.67423    0.50000    0.00000
-4.94975    -2.85774    -0.50000    0.00000
-5.42115    -3.67423    -0.83333    0.00000
-3.06413    -2.85774    0.83333    0.00000
-3.53553    -3.67423    0.50000    0.00000
-2.12132    -2.85774    -0.50000    0.00000
-2.59272    -3.67423    -0.83333    0.00000
-4.47834    -2.04124    0.83333    0.00000
-4.94975    -2.85774    0.50000    0.00000
-3.53553    -2.04124    -0.50000    0.00000
-4.00694    -2.85774    -0.83333    0.00000
-5.89256    -1.22474    0.83333    0.00000
-6.36396    -2.04124    0.50000    0.00000
-4.94975    -1.22474    -0.50000    0.00000
-5.42115    -2.04124    -0.83333    0.00000
-3.06413    -1.22474    0.83333    0.00000
-3.53553    -2.04124    0.50000    0.00000
-2.12132    -1.22474    -0.50000    0.00000
-2.59272    -2.04124    -0.83333    0.00000
-4.47834    -0.40825    0.83333    0.00000
-4.94975    -1.22474    0.50000    0.00000
-3.53553    -0.40825    -0.50000    0.00000
-4.00694    -1.22474    -0.83333    0.00000
-5.89256    0.40825    0.83333    0.00000
-6.36396    -0.40825    0.50000    0.00000
-4.94975    0.40825    -0.50000    0.00000
-5.42115    -0.40825    -0.83333    0.00000
5.42115    -4.49073    0.83333    0.00000
4.94975    -5.30723    0.50000    0.00000
6.36396    -4.49073    -0.50000    0.00000
5.89256    -5.30723    -0.83333    0.00000
4.00694    -3.67423    0.83333    0.00000
3.53553    -4.49073    0.50000    0.00000
4.94975    -3.67423    -0.50000    0.00000
4.47834    -4.49073    -0.83333    0.00000
2.59272    -2.85774    0.83333    0.00000
2.12132    -3.67423    0.50000    0.00000
3.53553    -2.85774    -0.50000    0.00000
3.06413    -3.67423    -0.83333    0.00000
5.42115    -2.85774    0.83333    0.00000
4.94975    -3.67423    0.50000    0.00000
6.36396    -2.85774    -0.50000    0.00000
5.89256    -3.67423    -0.83333    0.00000
4.00694    -2.04124    0.83333    0.00000
3.53553    -2.85774    0.50000    0.00000
4.94975    -2.04124    -0.50000    0.00000
4.47834    -2.85774    -0.83333    0.00000
2.59272    -1.22474    0.83333    0.00000
2.12132    -2.04124    0.50000    0.00000
3.53553    -1.22474    -0.50000    0.00000
3.06413    -2.04124    -0.83333    0.00000
5.42115    -1.22474    0.83333    0.00000
4.94975    -2.04124    0.50000    0.00000
6.36396    -1.22474    -0.50000    0.00000
5.89256    -2.04124    -0.83333    0.00000
4.00694    -0.40825    0.83333    0.00000
3.53553    -1.22474    0.50000    0.00000
4.94975    -0.40825    -0.50000    0.00000
4.47834    -1.22474    -0.83333    0.00000
2.59272    0.40825    0.83333    0.00000
2.12132    -0.40825    0.50000    0.00000
3.53553    0.40825    -0.50000    0.00000
3.06413    -0.40825    -0.83333    0.00000
1.17851    -2.04124    0.83333    0.00000
0.70711    -2.85774    0.50000    0.00000
2.12132    -2.04124    -0.50000    0.00000
1.64992    -2.85774    -0.83333    0.00000
-0.23570    -1.22474    0.83333    0.00000
-0.70711    -2.04124    0.50000    0.00000
0.70711    -1.22474    -0.50000    0.00000
0.23570    -2.04124    -0.83333    0.00000
-1.64992    -0.40825    0.83333    0.00000
-2.12132    -1.22474    0.50000    0.00000
-0.70711    -0.40825    -0.50000    0.00000
-1.17851    -1.22474    -0.83333    0.00000
1.17851    -0.40825    0.83333    0.00000
0.70711    -1.22474    0.50000    0.00000
2.12132    -0.40825    -0.50000    0.00000
1.64992    -1.22474    -0.83333    0.00000
-0.23570    0.40825    0.83333    0.00000
-0.70711    -0.40825    0.50000    0.00000
0.70711    0.40825    -0.50000    0.00000
0.23570    -0.40825    -0.83333    0.00000
-1.64992    1.22474    0.83333    0.00000
-2.12132    0.40825    0.50000    0.00000
-0.70711    1.22474    -0.50000    0.00000
-1.17851    0.40825    -0.83333    0.00000
1.17851    1.22474    0.83333    0.00000
0.70711    0.40825    0.50000    0.00000
2.12132    1.22474    -0.50000    0.00000
1.64992    0.40825    -0.83333    0.00000
-0.23570    2.04124    0.83333    0.00000
-0.70711    1.22474    0.50000    0.00000
0.70711    2.04124    -0.50000    0.00000
0.23570    1.22474    -0.83333    0.00000
-1.64992    2.85774    0.83333    0.00000
-2.12132    2.04124    0.50000    0.00000
-0.70711    2.85774    -0.50000    0.00000
-1.17851    2.04124    -0.83333    0.00000
-3.06413    0.40825    0.83333    0.00000
-3.53553    -0.40825    0.50000    0.00000
-2.12132    0.40825    -0.50000    0.00000
-2.59272    -0.40825    -0.83333    0.00000
-4.47834    1.22474    0.83333    0.00000
-4.94975    0.40825    0.50000    0.00000
-3.53553    1.22474    -0.50000    0.00000
-4.00694    0.40825    -0.83333    0.00000
-5.89256    2.04124    0.83333    0.00000
-6.36396    1.22474    0.50000    0.00000
-4.94975    2.04124    -0.50000    0.00000
-5.42115    1.22474    -0.83333    0.00000
-3.06413    2.04124    0.83333    0.00000
-3.53553    1.22474    0.50000    0.00000
-2.12132    2.04124    -0.50000    0.00000
-2.59272    1.22474    -0.83333    0.00000
-4.47834    2.85774    0.83333    0.00000
-4.94975    2.04124    0.50000    0.00000
-3.53553    2.85774    -0.50000    0.00000
-4.00694    2.04124    -0.83333    0.00000
-5.89256    3.67423    0.83333    0.00000
-6.36396    2.85774    0.50000    0.00000
-4.94975    3.67423    -0.50000    0.00000
-5.42115    2.85774    -0.83333    0.00000
-3.06413    3.67423    0.83333    0.00000
-3.53553    2.85774    0.50000    0.00000
-2.12132    3.67423    -0.50000    0.00000
-2.59272    2.85774    -0.83333    0.00000
-4.47834    4.49073    0.83333    0.00000
-4.94975    3.67423    0.50000    0.00000
-3.53553    4.49073    -0.50000    0.00000
-4.00694    3.67423    -0.83333    0.00000
-5.89256    5.30723    0.83333    0.00000
-6.36396    4.49073    0.50000    0.00000
-4.94975    5.30723    -0.50000    0.00000
-5.42115    4.49073    -0.83333    0.00000
5.42115    0.40825    0.83333    0.00000
4.94975    -0.40825    0.50000    0.00000
6.36396    0.40825    -0.50000    0.00000
5.89256    -0.40825    -0.83333    0.00000
4.00694    1.22474    0.83333    0.00000
3.53553    0.40825    0.50000    0.00000
4.94975    1.22474    -0.50000    0.00000
4.47834    0.40825    -0.83333    0.00000
2.59272    2.04124    0.83333    0.00000
2.12132    1.22474    0.50000    0.00000
3.53553    2.04124    -0.50000    0.00000
3.06413    1.22474    -0.83333    0.00000
5.42115    2.04124    0.83333    0.00000
4.94975    1.22474    0.50000    0.00000
6.36396    2.04124    -0.50000    0.00000
5.89256    1.22474    -0.83333    0.00000
4.00694    2.85774    0.83333    0.00000
3.53553    2.04124    0.50000    0.00000
4.94975    2.85774    -0.50000    0.00000
4.47834    2.04124    -0.83333    0.00000
2.59272    3.67423    0.83333    0.00000
2.12132    2.85774    0.50000    0.00000
3.53553    3.67423    -0.50000    0.00000
3.06413    2.85774    -0.83333    0.00000
5.42115    3.67423    0.83333    0.00000
4.94975    2.85774    0.50000    0.00000
6.36396    3.67423    -0.50000    0.00000
5.89256    2.85774    -0.83333    0.00000
4.00694    4.49073    0.83333    0.00000
3.53553    3.67423    0.50000    0.00000
4.94975    4.49073    -0.50000    0.00000
4.47834    3.67423    -0.83333    0.00000
2.59272    5.30723    0.83333    0.00000
2.12132    4.49073    0.50000    0.00000
3.53553    5.30723    -0.50000    0.00000
3.06413    4.49073    -0.83333    0.00000
1.17851    2.85774    0.83333    0.00000
0.70711    2.04124    0.50000    0.00000
2.12132    2.85774    -0.50000    0.00000
1.64992    2.04124    -0.83333    0.00000
-0.23570    3.67423    0.83333    0.00000
-0.70711    2.85774    0.50000    0.00000
0.70711    3.67423    -0.50000    0.00000
0.23570    2.85774    -0.83333    0.00000
-1.64992    4.49073    0.83333    0.00000
-2.12132    3.67423    0.50000    0.00000
-0.70711    4.49073    -0.50000    0.00000
-1.17851    3.67423    -0.83333    0.00000
1.17851    4.49073    0.83333    0.00000
0.70711    3.67423    0.50000    0.00000
2.12132    4.49073    -0.50000    0.00000
1.64992    3.67423    -0.83333    0.00000
-0.23570    5.30723    0.83333    0.00000
-0.70711    4.49073    0.50000    0.00000
0.70711    5.30723    -0.50000    0.00000
0.23570    4.49073    -0.83333    0.00000
-1.64992    6.12372    0.83333    0.00000
-2.12132    5.30723    0.50000    0.00000
-0.70711    6.12372    -0.50000    0.00000
-1.17851    5.30723    -0.83333    0.00000
1.17851    6.12372    0.83333    0.00000
0.70711    5.30723    0.50000    0.00000
2.12132    6.12372    -0.50000    0.00000
1.64992    5.30723    -0.83333    0.00000
-0.23570    6.94022    0.83333    0.00000
-0.70711    6.12372    0.50000    0.00000
0.70711    6.94022    -0.50000    0.00000
0.23570    6.12372    -0.83333    0.00000
-1.64992    7.75672    0.83333    0.00000
-2.12132    6.94022    0.50000    0.00000
-0.70711    7.75672    -0.50000    0.00000
-1.17851    6.94022    -0.83333    0.00000
-3.06413    5.30723    0.83333    0.00000
-3.53553    4.49073    0.50000    0.00000
-2.12132    5.30723    -0.50000    0.00000
-2.59272    4.49073    -0.83333    0.00000
-4.47834    6.12372    0.83333    0.00000
-4.94975    5.30723    0.50000    0.00000
-3.53553    6.12372    -0.50000    0.00000
-4.00694    5.30723    -0.83333    0.00000
-5.89256    6.94022    0.83333    0.00000
-6.36396    6.12372    0.50000    0.00000
-4.94975    6.94022    -0.50000    0.00000
-5.42115    6.12372    -0.83333    0.00000
-3.06413    6.94022    0.83333    0.00000
-3.53553    6.12372    0.50000    0.00000
-2.12132    6.94022    -0.50000    0.00000
-2.59272    6.12372    -0.83333    0.00000
-4.47834    7.75672    0.83333    0.00000
-4.94975    6.94022    0.50000    0.00000
-3.53553    7.75672    -0.50000    0.00000
-4.00694    6.94022    -0.83333    0.00000
-5.89256    8.57321    0.83333    0.00000
-6.36396    7.75672    0.50000    0.00000
-4.94975    8.57321    -0.50000    0.00000
-5.42115    7.75672    -0.83333    0.00000
-3.06413    8.57321    0.83333    0.00000
-3.53553    7.75672    0.50000    0.00000
-2.12132    8.57321    -0.50000    0.00000
-2.59272    7.75672    -0.83333    0.00000
-4.47834    9.38971    0.83333    0.00000
-4.94975    8.57321    0.50000    0.00000
-3.53553    9.38971    -0.50000    0.00000
-4.00694    8.57321    -0.83333    0.00000
-5.89256    10.20621    0.83333    0.00000
-6.36396    9.38971    0.50000    0.00000
-4.94975    10.20621    -0.50000    0.00000
-5.42115    9.38971    -0.83333    0.00000
