# x        y       z        profile
-1.25000    -2.16506    0.00000    1.40749
-1.75000    -1.29904    0.00000    1.04759
-2.25000    -0.43301    0.00000    -2.45499
-0.25000    -2.16506    0.00000    1.04759
-0.75000    -1.29904    0.00000    -2.45443
-1.25000    -0.43301    0.00000    1.40749
0.75000    -2.16506    0.00000    -2.45648
0.25000    -1.29904    0.00000    1.40749
-0.25000    -0.43301    0.00000    1.04759
-2.75000    0.43301    0.00000    1.40749
-3.25000    1.29904    0.00000    1.04759
-3.75000    2.16506    0.00000    -2.45499
-1.75000    0.43301    0.00000    1.04759
-2.25000    1.29904    0.00000    -2.45443
-2.75000    2.16506    0.00000    1.40749
-0.75000    0.43301    0.00000    -2.45648
-1.25000    1.29904    0.00000    1.40749
-1.75000    2.16506    0.00000    1.04759
1.75000    -2.16506    0.00000    1.40749
1.25000    -1.29904    0.00000    1.04759
0.75000    -0.43301    0.00000    -2.45499
2.75000    -2.16506    0.00000    1.04759
2.25000    -1.29904    0.00000    -2.45443
1.75000    -0.43301    0.00000    1.40749
3.75000    -2.16506    0.00000    -2.45648
3.25000    -1.29904    0.00000    1.40749
2.75000    -0.43301    0.00000    1.04759
0.25000    0.43301    0.00000    1.40749
-0.25000    1.29904    0.00000    1.04759
-0.75000    2.16506    0.00000    -2.45499
1.25000    0.43301    0.00000    1.04759
0.75000    1.29904    0.00000    -2.45443
0.25000    2.16506    0.00000    1.40749
2.25000    0.43301    0.00000    -2.45648
1.75000    1.29904    0.00000    1.40749
1.25000    2.16506    0.00000    1.04759
