# x        y       z        profile
-1.25000    -2.16506    0.00000    -2.02253
-1.75000    -1.29904    0.00000    2.23029
-2.25000    -0.43301    0.00000    -0.21164
-0.25000    -2.16506    0.00000    2.23029
-0.75000    -1.29904    0.00000    -0.21806
-1.25000    -0.43301    0.00000    -2.02253
0.75000    -2.16506    0.00000    -0.19363
0.25000    -1.29904    0.00000    -2.02253
-0.25000    -0.43301    0.00000    2.23029
-2.75000    0.43301    0.00000    -2.02253
-3.25000    1.29904    0.00000    2.23029
-3.75000    2.16506    0.00000    -0.21164
-1.75000    0.43301    0.00000    2.23029
-2.25000    1.29904    0.00000    -0.21806
-2.75000    2.16506    0.00000    -2.02253
-0.75000    0.43301    0.00000    -0.19363
-1.25000    1.29904    0.00000    -2.02253
-1.75000    2.16506    0.00000    2.23029
1.75000    -2.16506    0.00000    -2.02253
1.25000    -1.29904    0.00000    2.23029
0.75000    -0.43301    0.00000    -0.21164
2.75000    -2.16506    0.00000    2.23029
2.25000    -1.29904    0.00000    -0.21806
1.75000    -0.43301    0.00000    -2.02253
3.75000    -2.16506    0.00000    -0.19363
3.25000    -1.29904    0.00000    -2.02253
2.75000    -0.43301    0.00000    2.23029
0.25000    0.43301    0.00000    -2.02253
-0.25000    1.29904    0.00000    2.23029
-0.75000    2.16506    0.00000    -0.21164
1.25000    0.43301    0.00000    2.23029
0.75000    1.29904    0.00000    -0.21806
0.25000    2.16506    0.00000    -2.02253
2.25000    0.43301    0.00000    -0.19363
1.75000    1.29904    0.00000    -2.02253
1.25000    2.16506    0.00000    2.23029
