# x        y       z        profile
-1.25000    -2.16506    0.00000    -0.00000
-1.75000    -1.29904    0.00000    0.00000
-2.25000    -0.43301    0.00000    0.00000
-0.25000    -2.16506    0.00000    0.00000
-0.75000    -1.29904    0.00000    0.00000
-1.25000    -0.43301    0.00000    -0.00000
0.75000    -2.16506    0.00000    0.00000
0.25000    -1.29904    0.00000    -0.00000
-0.25000    -0.43301    0.00000    0.00000
-2.75000    0.43301    0.00000    -0.00000
-3.25000    1.29904    0.00000    0.00000
-3.75000    2.16506    0.00000    0.00000
-1.75000    0.43301    0.00000    0.00000
-2.25000    1.29904    0.00000    0.00000
-2.75000    2.16506    0.00000    -0.00000
-0.75000    0.43301    0.00000    0.00000
-1.25000    1.29904    0.00000    -0.00000
-1.75000    2.16506    0.00000    0.00000
1.75000    -2.16506    0.00000    -0.00000
1.25000    -1.29904    0.00000    0.00000
0.75000    -0.43301    0.00000    0.00000
2.75000    -2.16506    0.00000    0.00000
2.25000    -1.29904    0.00000    0.00000
1.75000    -0.43301    0.00000    -0.00000
3.75000    -2.16506    0.00000    0.00000
3.25000    -1.29904    0.00000    -0.00000
2.75000    -0.43301    0.00000    0.00000
0.25000    0.43301    0.00000    -0.00000
-0.25000    1.29904    0.00000    0.00000
-0.75000    2.16506    0.00000    0.00000
1.25000    0.43301    0.00000    0.00000
0.75000    1.29904    0.00000    0.00000
0.25000    2.16506    0.00000    -0.00000
2.25000    0.43301    0.00000    0.00000
1.75000    1.29904    0.00000    -0.00000
1.25000    2.16506    0.00000    0.00000
